essay|error|message|frase
1178|xml:114|Os determinantes concordam com o substantivo a que se referem.|"Tal pesquisa torna evidente a íntima relação existente entre a produção de lixo ""per capita"" com o crescente consumismo, uma vez que, mediante a constante ""evolução dos bens de consumo"", a sociedade se sente no dever e na ""obrigação"" de ""evoluir"" ao mesmo ritmos que estes , fazendo com que produtos antes considerados suficientes para atender as necessidades ""básicas"" se tornem, paradoxalmente, efêmeros e essenciais ao reconhecimento social"
1178|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|"Tal pesquisa torna evidente a íntima relação existente entre a produção de lixo ""per capita"" com o crescente consumismo, uma vez que, mediante a constante ""evolução dos bens de consumo"", a sociedade se sente no dever e na ""obrigação"" de ""evoluir"" ao mesmo ritmos que estes , fazendo com que produtos antes considerados suficientes para atender as necessidades ""básicas"" se tornem, paradoxalmente, efêmeros e essenciais ao reconhecimento social"
1178|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Dessa maneira se faz necesario , além de profundas tranformacoes no modelo economico atual - o que na pratica seria dificil devido a influencia exercida por grandes potencias economicas -, trasformacoes praticas e ideologicas no que diz respeito a posicao da sociedade perante os padroes de consumo impostos por uma minoria dominante sem menor preocupacao com o bem comum
1178|probs:paronyms|Possível confusão entre influencia e influência.|Dessa maneira se faz necesario , além de profundas tranformacoes no modelo economico atual - o que na pratica seria dificil devido a influencia exercida por grandes potencias economicas -, trasformacoes praticas e ideologicas no que diz respeito a posicao da sociedade perante os padroes de consumo impostos por uma minoria dominante sem menor preocupacao com o bem comum
1180|punctuation:BEFORE_SENTENCES|Pontuação no início da frase.|)
1180|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Dizer que se importa , todos dizem, mas será que realmente é feito algo para resolver o problema a curto prazo? Ou será que algo só é feito quando a situação já está num nível acima do alarmante (se é que esse nível existe ou é tolerado pelo Planeta)? É uma fato atual, sério e perigoso, e precisa desde já ser visto e tratado como tal
1180|xml:104|Os artigos concordam com o substantivo a que se referem.|Dizer que se importa , todos dizem, mas será que realmente é feito algo para resolver o problema a curto prazo? Ou será que algo só é feito quando a situação já está num nível acima do alarmante (se é que esse nível existe ou é tolerado pelo Planeta)? É uma fato atual, sério e perigoso, e precisa desde já ser visto e tratado como tal
1180|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|" Será necessário tempo e persistência,  seja por parte da indústria, que pode investir em alternativas ""verdes"", ou por parte do próprio ser humano de educar o próximo ou auto conscientizar-se sobre o problema; ou seja, a culpa é de ambos"
1181|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Vivemos falando sobre os sacos plásticos que jogados de maneira errada, prejudicam a saúde dos peixes, o alagamento das ruas, a destruição do planeta,  mas nada se resolve
1181|xml:124|O adjetivo na função de predicativo concorda com o sujeito.| Os lixos são um grande estrago para a vida ambiental
1181|xml:124|O adjetivo na função de predicativo concorda com o sujeito.| Ser sustentável é uma ação que gera toda uma reação positiva no meio ambiente
1182|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Amor e ódio, bem e mau , profano e divino, teocentrismo e antropocentrismo
1182|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Conforme dizia William Shakespeare ?Os covardes morrem muitas vezes antes da morte; o valente experimenta o gosto da morte apenas uma vez?
1183|xml:114|Os determinantes concordam com o substantivo a que se referem.| E quem tem coragem de assumir seu erro? Instintivamente para a sobrevivência da vida social do indivíduo, este busca a covardia negando seus erros
1183|punctuation:BEFORE_SENTENCES|Pontuação no início da frase.|"  ?Vada a bordo, cazzo! ?(""suba a bordo, diacho!"") são palavras emitidas pelo comandante Gregorio de Falco diante do ocorrido"
1183|punctuation:BEFORE_SENTENCES|Pontuação no início da frase.|"  ?Vada a bordo, cazzo! ?(""suba a bordo, diacho!"") são palavras emitidas pelo comandante Gregorio de Falco diante do ocorrido"
1184|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Texto muito fraco em que o assunto indroduzido de maneira confusa no segundo parágrafo, ao fim do qual segue um parágrafo que repete o que nele foi dito, de maneira sumária, sem acrescentar nada ao texto, e mais dois parágrafos em que se expõem ? em vez de argumentar ? uma dúvida e uma comparação do fato real com uma fábula
1184|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Texto muito fraco em que o assunto indroduzido de maneira confusa no segundo parágrafo, ao fim do qual segue um parágrafo que repete o que nele foi dito, de maneira sumária, sem acrescentar nada ao texto, e mais dois parágrafos em que se expõem ? em vez de argumentar ? uma dúvida e uma comparação do fato real com uma fábula
1185|probs:paronyms|Possível confusão entre porem e porém.| A responsabilidade do capitao naquela situação era a de zelar pela sua tripulaçao e tomar a melhor decisão levando em consideração todos à bordo, porem ele só pensou em si mesmo e abandonou o navio
1185|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Por tudo isso, a transmissão de princípios morais na constituição do individuo pela família e pela escola é de extrema importância, uma vez que são eles que mostram a conduta ideal a ser tomada perante as diversas situações ,o certo e o errado, sem deixar de levar em consideração o outro e a si mesmo!
1186|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Tudo isso gera uma grande simpatia da sociedade por esses grandes homens e mulheres que se colocam a disposição de qualquer chamado, seja ele um acidente de transito , um grande incêndio ou famílias que estão sobre o domínio de bandidos
1186|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Mas infelizmente, a casos específicos em que profissionais ou se isto podemos chamar,  num ato de individualismo, coloca a vida de pessoas em risco
1186|xml:124|O adjetivo na função de predicativo concorda com o sujeito.|A coragem é o que nos faz gente, é o que nos leva a luta ao enfrentamento de situações que nos expõem ao perigo, e de nunca sermos como ratos ou de ser o primeiro a abandonar o barco na hora do perigo
1186|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|A coragem é o que nos faz gente, é o que nos leva a luta ao enfrentamento de situações que nos expõem ao perigo, e de nunca sermos como ratos ou de ser o primeiro a abandonar o barco na hora do perigo
1186|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|A coragem é o que nos faz gente, é o que nos leva a luta ao enfrentamento de situações que nos expõem ao perigo, e de nunca sermos como ratos ou de ser o primeiro a abandonar o barco na hora do perigo
1188|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|" Existe covardia maior?Coragem, é daqueles que acordam bem cedo, cumprem seu papel corretamente na sociedade; Trabalhadores , educadores, servidores do bem, que educam seus filhos da melhor maneira possível, mesmo em meio de tanta ""turbulência"", pessoas que assumem seus próprios atos, sem precisar de gastar tempo nem dinheiro público com uma CPI para averiguação dos fatos"
1188|xml:124|O adjetivo na função de predicativo concorda com o sujeito.| O mundo é uma selva, onde infelizmente nem sempre os que são providos de coragem, bravura e valentia saiam vivos e vitoriosos
1189|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|  Uma notícia que tem se destacado na mídia que exemplifica muito bem esse fato foi o caso do capitão Francesco Schettino que, após bater em uma rocha junta à ilha italiana,  abandonou o navio deixando milhares de pessoas que estavam a bordo da embarcação
1190|xml:17|O adjetivo concorda com o substantivo a que se refere.| Não aqueles heróis de filmes que estamos acostumados, mas sim aqueles que são em maioria anônimos
1191|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|A negligência cometida pelo capitão Francesco Schettino,  do Costa Concórdia, é uma amostra recente de covardia, do medo de assumir o seu próprio erro, medo de ser criticado, medo da culpa
1191|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| É muito mais fácil,  colocar a culpa em alguém, desistir de uma coisa mais difícil, fugir de decisões e verdades do que assumi-las
1191|probs:paronyms|Possível confusão entre critico e crítico.|A coragem também está contida em pequenos atos, não somente em se tornar herói por ter arriscado a vida para salvar algo ou alguém, mas também evitando mentiras do dia a dia, agindo com responsabilidade e comprometimento, é ter maturidade e senso critico
1191|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|Portanto só nos resta esperar que a sociedade tenha mais coragem nas suas atitudes,  que construa pessoas com caráter, que assumam seus erros e não fujam de suas responsabilidades
1191|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Portanto só nos resta esperar que a sociedade tenha mais coragem nas suas atitudes,  que construa pessoas com caráter, que assumam seus erros e não fujam de suas responsabilidades
1193|xml:17|O adjetivo concorda com o substantivo a que se refere.|Por mais que alguns procurem negar, coragem e covardia éticas têm sim muitos efeitos sobre a sociedade
1193|xml:17|O adjetivo concorda com o substantivo a que se refere.| Não é possível, porém, afirmar qual delas está se sobressaindo, pois, se por um lado há o exemplo anti-ético dos políticos brasileiro, por outra há uma boa demonstração de ética na vida e no trabalho pela personagem Griselda
1194|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|A atitude do capitão foi vergonhosa,  são poucas as pessoas que ainda pesam no próximo, e foi o que o capitão não fez
1196|xml:124|O adjetivo na função de predicativo concorda com o sujeito.|  Essa conduta de coragem é o que, por muitas vezes, faz a humanidade evoluir
1196|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|Um ato de coragem e bravura pode mudar vidas e até mudar a situação de um Estado e um ato de covardia pode dizimar centenas de vidas
1197|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|""" Com essas palavras a escritora francesa, Anaïs Nin, deixa clara a importância das pessoas serem capazes de resistirem às adversidades que se apresentam diariamente nas suas vidas; a covardia , ao contrário , fragiliza o indivíduo que, por sua vez, fica inerte e não demonstra reação"
1197|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|""" Com essas palavras a escritora francesa, Anaïs Nin, deixa clara a importância das pessoas serem capazes de resistirem às adversidades que se apresentam diariamente nas suas vidas; a covardia , ao contrário , fragiliza o indivíduo que, por sua vez, fica inerte e não demonstra reação"
1197|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Sendo assim, qualquer atitude corajosa - que atualmente não faz parte do padrão da sociedade - como a verificada na Itália, em que ocorreu o naufrágio do Costa Concórdia, consagrando herói o comandante Francesco Schettino, que exigiu o retorno do comandante ao navio,  faz com que a população descrente ou mal acostumada com essas ações,  perceba a importância de serem corajosos em momentos como esses
1197|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Sendo assim, qualquer atitude corajosa - que atualmente não faz parte do padrão da sociedade - como a verificada na Itália, em que ocorreu o naufrágio do Costa Concórdia, consagrando herói o comandante Francesco Schettino, que exigiu o retorno do comandante ao navio,  faz com que a população descrente ou mal acostumada com essas ações,  perceba a importância de serem corajosos em momentos como esses
1198|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Se, por um lado, corajosos são exautados , por outro , covardes são apedrejados, apelidados de frangotes e Judas
1198|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Se, por um lado, corajosos são exautados , por outro , covardes são apedrejados, apelidados de frangotes e Judas
1198|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Um exemplo atual disso é o capitão do navio Costa Concordia, Franscesco Schettino, que, em um momento de nervosismo e tensão , abandonou o navio e os passageiros à própria sorte, uma atitude inesperada por todos, o comandante deve pernanecer no navio para proteger e orientar os passageiros em um momento de tensão, esse ato covarde será lembrado por um bom tempo
1198|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|  Lembraremos de seu nome e sua covardia , mas esqueceremos fácil do nome do herói da história , Gregório de Falco
1198|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|  Lembraremos de seu nome e sua covardia , mas esqueceremos fácil do nome do herói da história , Gregório de Falco
1198|xml:124|O adjetivo na função de predicativo concorda com o sujeito.|"Essa contrariedade, apontada pelo fato de lembrarmos sempre do ""vilão covarde"", revela como pequena e finita é a capacidade de julgamento da sociedade,  analisamos os fatos pelo que ouvimos dizer, sem desenvolver uma linha de raciocínio e julgamento sobre esse ato, devemos preparar a mente e desenvolvê-la para o julgamento adequado"
1198|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|"Essa contrariedade, apontada pelo fato de lembrarmos sempre do ""vilão covarde"", revela como pequena e finita é a capacidade de julgamento da sociedade,  analisamos os fatos pelo que ouvimos dizer, sem desenvolver uma linha de raciocínio e julgamento sobre esse ato, devemos preparar a mente e desenvolvê-la para o julgamento adequado"
1199|xml:114|Os determinantes concordam com o substantivo a que se referem.| Por exemplo, se você estiver dirigindo um carro em alta velocidade e percebesse que ele iria bater em outro carro, o que você faria? Abriria a porta e pularia ou então tentaria frear e desviar? Seria uma atitude muito covarde e até mesmo vergonha pular, pois não é só a sua vida que está em risco mas também a vida de outros seres humanos, que tem objetivos e sonhos assim como você
1199|xml:114|Os determinantes concordam com o substantivo a que se referem.|Todos os nossos atos se refletem na sociedade, temos que ter a consciência de que é preciso muitas vezes ter a coragem e o dever de praticar certo atos não apenas por nós, mas por toda a sociedade de que fazemos parte
1200|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|" Nesse aspecto,  configura-se a ideia relativa de ""superioridade"" dos seres humanos, que não reconhecem esses animais como merecedores de respeito"
1200|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|Portanto, a relação entre pessoas e animais domésticos deve ser afetuosa, sem privilégios e agressões
1201|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Vemos que a fase ingênua está diminuindo cada vez mais, as vezes até me pergunto,  como pode tão pequenos, parecendo tão grandes em pensamentos? Não poupamos as nossas crianças de uma realidade cruel, era tão mais bonito quando elas iam dormi sonhando com fadas e super-heróis
1202|xml:2|Não ocorre crase antes de palavras masculinas.| Doar milhões a um cachorro ou gato enquanto milhares de crianças morrem de fome todos os dias é tão desumano quanto espancar um animal até a morte onde tais atos rebaixam a condição humana à patamares próximos de seus animais de estimação
1203|xml:124|O adjetivo na função de predicativo concorda com o sujeito.|Diante disso percebe-se que a agressão e o grau elevado de cuidados não são benéficos aos animais domésticos, nem mesmo quando a intenção é o adestramento
1204|xml:95|Os artigos concordam com o substantivo a que se referem.|Tratá-los como filhos e dá-los tudo o que as pessoas comem, ou necessitam para viver, incluindo dinheiro, nunca foi a maneira mais racional de mostrar que os ama ou que os respeita 
1204|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|Tratá-los como filhos e dá-los tudo o que as pessoas comem, ou necessitam para viver, incluindo dinheiro, nunca foi a maneira mais racional de mostrar que os ama ou que os respeita 
1204|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|Mas, por outro lado há quem os odeie e esse ódio pode resultar em várias agressões físicas que muitas vezes ocasiona a morte, ou o abandono
1205|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|É verdade que todo tipo de vida deve ser respeitado, porém quando o mundo do ?pet? torna-se fundamental e comum preterir familiares, atividades físicas, pagar contas e outros aspectos cotidianos para proporcionar um melhor tratamento apenas ao animal, enquadra-se como uma atividade ilógica, pois a vida pessoal e social é afetada
1206|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Infelizmente, numa proporção um pouco maior, temos observados também que nem sempre esse amor se manifesta, pelo contrário, os atos de agressão violenta , abandono e descaso chocam a todos, a todo o momento
1207|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Animais de estimação ou também determinados como mascote,  são animais dóceis com tal função de companheirismo ou divertimento para o ser humano
1207|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|A relação do homem com o animal deve manter certos limites, respeitando seu espaço, tais como: não maltrata-los , cumprir corretamente com suas necessidades e dar atenção
1207|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Pessoas gastam fortunas com animais,  um absurdo incontestante,  enquanto pessoas morrem de fome com medo de 1 real por dia , outros gastam milhões com futilidades do tipo
1207|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Pessoas gastam fortunas com animais,  um absurdo incontestante,  enquanto pessoas morrem de fome com medo de 1 real por dia , outros gastam milhões com futilidades do tipo
1207|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Pessoas gastam fortunas com animais,  um absurdo incontestante,  enquanto pessoas morrem de fome com medo de 1 real por dia , outros gastam milhões com futilidades do tipo
1207|punctuation:BEFORE_SENTENCES|Pontuação no início da frase.| Oras!  A diferença entre o homem e o animal é a sua capacidade racional, e como o animal sendo irracional poderá administrar bens materiais!?
1208|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Isso repercutiu durante toda a história da humanidade, sendo que, nas últimas décadas , cresceu o número de pessoas que possuem animais de estimação, relacionando-se com os mesmos de diversas maneiras
1208|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Todavia, há alguns absurdos, muitos deles divulgados pela mídia,  maus tratos, agressões covardes aos animais, práticas ilícitas como rinha de galo, excesso de mimos e cuidados, fatos esses que causam, na maioria da população, revolta e indignação, além de poder trazer como consequência atitudes inesperadas por parte de animais de estimação, comportamento agressivo, fobias
1209|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|No passado os animais de estimação eram tratados com carinho, porem sem exageros e a crueldade não era tão evidente como hoje , como exemplo temos as famílias que adquiriam animas de estimação para os filhos, hoje vemos famílias preferindo animais a filhos, a relação vai do excesso de zelo as desprezo total para compensar as frustrações de uma vida sem valores 
1209|xml:95|Os artigos concordam com o substantivo a que se referem.|No passado os animais de estimação eram tratados com carinho, porem sem exageros e a crueldade não era tão evidente como hoje , como exemplo temos as famílias que adquiriam animas de estimação para os filhos, hoje vemos famílias preferindo animais a filhos, a relação vai do excesso de zelo as desprezo total para compensar as frustrações de uma vida sem valores 
1209|xml:17|O adjetivo concorda com o substantivo a que se refere.|No caso do excesso de cuidado e amor temos famílias e até pessoas que vivem sozinhas e tratam seus animais de estimação melhores que tratam uma pessoa, são capazes de adquirir coisas e dar o que se tem de melhor a um animal, porém são incapazes de estender a mão para ajudar outro ser humano, levados na maioria das vezes a este comportamento por desacreditar da humanidade
1209|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Aonde vamos parar com este comportamento excessivo aos extremos,  onde esta a tranquilidade e os valores, talvez perdidos em famílias mais tradicionais e em algumas instituições de defesa dos animais, em abrigos que recebem animais torturados e a sociedade fechando os olhos, por este motivo devemos ensinar as nossas crianças que desde que o mundo é mundo animais são animais e pessoas são pessoas cada qual com suas limitações e com suas fraquezas, porém com qualidades e capazes as suas maneiras de trazer felicidade
1209|xml:17|O adjetivo concorda com o substantivo a que se refere.|Aonde vamos parar com este comportamento excessivo aos extremos,  onde esta a tranquilidade e os valores, talvez perdidos em famílias mais tradicionais e em algumas instituições de defesa dos animais, em abrigos que recebem animais torturados e a sociedade fechando os olhos, por este motivo devemos ensinar as nossas crianças que desde que o mundo é mundo animais são animais e pessoas são pessoas cada qual com suas limitações e com suas fraquezas, porém com qualidades e capazes as suas maneiras de trazer felicidade
1210|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Dessa forma, atrocidades como o espancamento de um filhote de cachorro até a morte, com a justificativa de estresse emocional causada pelo mesmo,  não será viável 
1211|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Através do tempo, após sua domesticação, o animal acabou tornando-se animais de estimação,  porém com o tempo o homem deliberadamente criou uma ideia errada sobre o “uso” dos animais de estimação
1211|xml:114|Os determinantes concordam com o substantivo a que se referem.|Resumidamente, o certo que seria amá-los e deixá-los viver de acordo com sua natureza nos animais teoricamente racionais nos comportamos irracionalmente, pronto para modificá-los, pintar e cortar nosso animais de estimação por leviandades
1212|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Há pessoas que tratam seus animais como membros da família, com todos os cuidados necessários que um animal precisa , porém algumas exageram
1212|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Os animais não precisam de luxo, sapatos, roupas, joias e quarto decorado,  eles precisam de amor, carinho, afeto, água e comida
1213|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|  Modificações pra mais ou pra menos alteram a atitude do mesmo , gerando sérias consequências para ambos
1213|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Do contrário,  tratá-lo como um objeto descartável, que se pode fazer o que bem entender, traz conseqüências piores
1213|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Ao fazer isso, você o machuca fisicamente e psicologicamente,  criando uma ira do animal a você
1214|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Dentre tanto , a relação dos animais com os donos se diferencia caso a caso, conforme a realidade financeira e psicológica 
1214|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.| A troca de afeto e carinho fortalece ambos, porém, não se pode confundir as necessidades de cada ser, o qual modifica e quantifica o comportamento
1215|xml:121|Verifique o excesso de verbos em sequência.| De um lado estão aqueles que fantasiam essas criaturas como humanos que necessitam não apenas de água comida e atenção mais também de coisas supérfluas, acreditando estar dando-os conforto eles acabam causar o oposto
1215|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|"Há também o lado que os trata de forma abusiva – como no caso de milhões de animais utilizados para carregar cargas pesadas por mais de 18 horas por dia – e negligente – como os animais domésticos que sofrem tortura por parte de seus ""proprietários"""
1216|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Em geral, cães e gatos tratados como ?filhos? de seus donos passam a exibir comportamentos exagerados e ficam muito agitados, medrosos ou agressivos
1216|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Qualquer bicho ? seja ou não de estimação ? costuma seguir seus instintos, indiferente às complexidades humanas
1216|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Qualquer bicho ? seja ou não de estimação ? costuma seguir seus instintos, indiferente às complexidades humanas
1216|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Portanto, quando alguém o violenta, não age para ?educar?, mas para expressar suas frustrações de maneira sádica ou irracional
1216|punctuation:BEFORE_SENTENCES|Pontuação no início da frase.| Portanto, quando alguém o violenta, não age para ?educar?, mas para expressar suas frustrações de maneira sádica ou irracional
1218|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Como o tempo, está foi tornando-se  mais afetiva e até proporcionar  certos mimos luxuosos para estes  animais
1218|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Como o tempo, está foi tornando-se  mais afetiva e até proporcionar  certos mimos luxuosos para estes  animais
1218|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Como o tempo, está foi tornando-se  mais afetiva e até proporcionar  certos mimos luxuosos para estes  animais
1218|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Antes e  tudo, todas as crianças e adolescentes têm o direito de ser amados e protegidos em todos os sentidos
1219|xml:124|O adjetivo na função de predicativo concorda com o sujeito.|Os movimentos estudantis são um bom exemplo, se não o melhor, desses tipos de grupos
1219|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Historicamente, a principal manifestação ocorreu durante o combate à ditadura militar, nas ?diretas já?
1219|xml:17|O adjetivo concorda com o substantivo a que se refere.| Milhares de pessoas, em especial jovens estudantes, saíram às ruas e reivindicaram o impeachment do presidente Collor
1220|xml:103|Os artigos concordam com o substantivo a que se referem.|Depreende-se, pois, que o movimentos juvenis são um grande aliado no processo de (re)estruturação do país, visto que evidenciam os interesses de um grupo de pessoas
1220|space:MISSING_SPACE_AFTER_PUNCT|Falta espaço entre símbolo e palavra à direita.|Depreende-se, pois, que o movimentos juvenis são um grande aliado no processo de (re)estruturação do país, visto que evidenciam os interesses de um grupo de pessoas
1221|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| No entanto, movimentos que vão contra os princípios da Constituição do país, como o realizado pelos estudantes da USP, fogem da teoria democrática, e devem, de já , ser erradicados
1221|xml:124|O adjetivo na função de predicativo concorda com o sujeito.| No Brasil, semelhantemente, os movimentos estudantis foram um importante fator de resistência à ditadura militar, bem como no impeachment do então presidente Fernando Collor de Mello
1221|xml:65|Pron. relativos e conj. subordinativas atraem o pronome para antes do verbo.| A situação ainda se agrava quando percebe-se que um dos motivos para tal postura dos estudantes teria sido o desejo de não interferência da polícia no consumo e tráfico de drogas dentro da universidade, o que mostra que os estudantes começaram a radicalizar a noção dos movimentos populares, trazendo-os para o desligamento das leis do Estado, o qual, deve reprimir esse tipo de movimento
1222|xml:114|Os determinantes concordam com o substantivo a que se referem.| Com a variedades de estudos e com o aumento da tecnologia em todo mundo, estar fazendo com que os brasileiros continuem fazendo com o que o seu país esteja fazendo parte de toda sua vida, sem necessidade de se deslocar ate um outro país, que muitos jovens faziam anos atrás em busca de bons estudos e acabavam se movimentando ate outro país
1223|xml:95|Os artigos concordam com o substantivo a que se referem.|Os adolescente estão cada vez mais ligados no mundo, graça ao desenvolvimento da população cada vez mais qualificada, e no avanço das tecnologias, podemos ver que nada ''fica calado'' entre os jovem , podendo ser até mesmo pelo um motivo errado como aconteceu lá na USP
1223|repetition:DUPLICATED_TOKEN|Repetição de palavras.|Os adolescente estão cada vez mais ligados no mundo, graça ao desenvolvimento da população cada vez mais qualificada, e no avanço das tecnologias, podemos ver que nada ''fica calado'' entre os jovem , podendo ser até mesmo pelo um motivo errado como aconteceu lá na USP
1223|xml:95|Os artigos concordam com o substantivo a que se referem.|Os adolescente estão cada vez mais ligados no mundo, graça ao desenvolvimento da população cada vez mais qualificada, e no avanço das tecnologias, podemos ver que nada ''fica calado'' entre os jovem , podendo ser até mesmo pelo um motivo errado como aconteceu lá na USP
1223|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Os adolescente estão cada vez mais ligados no mundo, graça ao desenvolvimento da população cada vez mais qualificada, e no avanço das tecnologias, podemos ver que nada ''fica calado'' entre os jovem , podendo ser até mesmo pelo um motivo errado como aconteceu lá na USP
1223|xml:91|"Alguns nomes regem a preposição ""a"", logo há crase aqui."| Na minha opinião o que falta hoje em dia para quem não tem acesso as tecnologias (computador)  é a ''autonomia'' que é um fator importantíssimo para os jovem de classe baixa, nas escolas publicas os jovem na maioria das vez  são manipulados pelos pais a estudar, porem isso não influi nada, só querem saber da nota (não tirar vermelho), não estão nem ai para o que se desenvolver, como por exemplo um ''grêmio escolar'', que seria importantíssimo para qualquer escola
1223|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Na minha opinião o que falta hoje em dia para quem não tem acesso as tecnologias (computador)  é a ''autonomia'' que é um fator importantíssimo para os jovem de classe baixa, nas escolas publicas os jovem na maioria das vez  são manipulados pelos pais a estudar, porem isso não influi nada, só querem saber da nota (não tirar vermelho), não estão nem ai para o que se desenvolver, como por exemplo um ''grêmio escolar'', que seria importantíssimo para qualquer escola
1223|repetition:DUPLICATED_TOKEN|Repetição de palavras.| Na minha opinião o que falta hoje em dia para quem não tem acesso as tecnologias (computador)  é a ''autonomia'' que é um fator importantíssimo para os jovem de classe baixa, nas escolas publicas os jovem na maioria das vez  são manipulados pelos pais a estudar, porem isso não influi nada, só querem saber da nota (não tirar vermelho), não estão nem ai para o que se desenvolver, como por exemplo um ''grêmio escolar'', que seria importantíssimo para qualquer escola
